id,item_id,Condition,share01
109,33,0,False
109,34,0,False
109,35,0,False
109,36,0,False
110,19,0,False
110,20,0,False
110,21,0,False
110,22,0,False
110,23,0,False
110,24,0,False
110,25,0,False
110,26,0,False
110,27,0,False
110,28,0,False
110,29,0,False
110,31,0,False
110,32,0,False
110,33,0,False
110,34,0,False
110,35,0,False
110,36,0,False
111,19,1,False
111,20,1,False
111,21,1,False
111,22,1,False
111,23,1,False
111,24,1,False
111,25,1,False
111,26,1,False
111,27,1,False
111,28,1,False
111,29,1,False
111,30,1,False
111,31,1,False
111,32,1,False
111,33,1,False
111,34,1,True
111,35,1,True
111,36,1,False
112,19,0,True
112,20,0,True
112,21,0,False
112,22,0,False
112,23,0,False
112,24,0,False
112,25,0,False
112,26,0,False
112,27,0,False
112,28,0,True
112,29,0,False
112,31,0,False
112,32,0,False
112,33,0,False
112,34,0,False
112,35,0,False
112,36,0,False
113,19,1,False
113,20,1,False
113,21,1,False
113,22,1,False
113,23,1,False
113,24,1,False
113,25,1,False
113,26,1,False
113,27,1,False
113,28,1,False
113,29,1,False
113,30,1,False
113,31,1,False
113,32,1,False
113,33,1,False
113,34,1,False
113,35,1,False
113,36,1,False
114,19,1,False
114,20,1,False
114,21,1,False
114,22,1,False
114,23,1,False
114,24,1,False
114,25,1,False
114,26,1,False
114,27,1,False
114,28,1,False
114,29,1,False
114,30,1,False
114,31,1,False
114,32,1,False
114,33,1,False
114,34,1,False
114,35,1,False
114,36,1,False
115,19,1,False
115,20,1,False
115,21,1,False
115,22,1,False
115,23,1,False
115,24,1,False
115,25,1,False
115,26,1,False
115,27,1,False
115,28,1,False
115,29,1,False
115,30,1,False
115,31,1,False
115,32,1,False
115,33,1,False
115,34,1,True
115,35,1,False
115,36,1,False
124,19,0,False
124,20,0,False
124,21,0,False
124,22,0,False
124,23,0,False
124,24,0,False
124,25,0,True
124,26,0,False
124,27,0,False
124,28,0,False
124,29,0,False
124,31,0,False
124,32,0,False
124,33,0,False
124,34,0,True
124,35,0,False
124,36,0,False
125,19,0,False
125,20,0,False
125,21,0,False
125,22,0,False
125,23,0,False
125,24,0,False
125,25,0,False
125,26,0,False
125,27,0,False
125,28,0,False
125,29,0,False
125,31,0,False
125,32,0,False
125,33,0,False
125,34,0,False
125,35,0,False
125,36,0,False
126,19,0,False
126,20,0,False
126,21,0,False
126,22,0,False
126,23,0,False
126,24,0,False
126,25,0,False
126,26,0,False
126,27,0,False
126,28,0,False
126,29,0,False
126,31,0,False
126,32,0,False
126,33,0,False
126,34,0,False
126,35,0,False
126,36,0,False
131,19,0,True
131,20,0,True
131,21,0,False
131,22,0,False
131,23,0,True
131,24,0,False
131,25,0,False
131,26,0,True
131,27,0,False
131,28,0,True
131,29,0,False
131,31,0,False
131,32,0,False
131,33,0,True
131,34,0,False
131,35,0,False
131,36,0,False
135,19,1,False
135,20,1,False
135,21,1,False
135,22,1,False
135,23,1,False
135,24,1,False
135,25,1,False
135,26,1,False
135,27,1,False
135,28,1,False
135,29,1,False
135,30,1,False
135,31,1,True
135,32,1,False
135,33,1,False
135,34,1,False
135,35,1,False
135,36,1,False
136,19,0,False
136,20,0,False
136,21,0,False
136,22,0,False
136,23,0,False
136,24,0,False
136,25,0,False
136,26,0,False
136,27,0,False
136,28,0,False
136,29,0,False
136,31,0,False
136,32,0,False
136,33,0,False
136,34,0,False
136,35,0,False
136,36,0,False
138,19,0,True
138,20,0,False
138,21,0,False
138,22,0,False
138,23,0,True
138,24,0,False
138,25,0,False
138,26,0,False
138,27,0,False
138,28,0,False
138,29,0,False
138,31,0,False
138,32,0,False
138,33,0,False
138,34,0,False
138,35,0,True
138,36,0,False
139,19,0,False
139,20,0,False
139,21,0,False
139,22,0,False
139,23,0,False
139,24,0,False
139,25,0,False
139,26,0,False
139,27,0,False
139,28,0,False
139,29,0,False
139,31,0,False
139,32,0,False
139,33,0,False
139,34,0,False
139,35,0,False
139,36,0,False
140,19,1,False
140,20,1,True
140,21,1,False
140,22,1,False
140,23,1,False
140,24,1,False
140,25,1,False
140,26,1,False
140,27,1,False
140,28,1,False
140,29,1,False
140,30,1,False
140,31,1,False
140,32,1,False
140,33,1,False
140,34,1,False
140,35,1,False
140,36,1,False
144,19,0,False
144,20,0,False
144,21,0,True
144,22,0,False
144,23,0,True
144,24,0,True
144,25,0,False
144,26,0,False
144,27,0,True
144,28,0,True
144,29,0,True
144,31,0,True
144,32,0,True
144,33,0,False
144,34,0,True
144,35,0,False
144,36,0,True
148,19,0,False
148,20,0,False
148,21,0,False
148,22,0,False
148,23,0,False
148,24,0,False
148,25,0,True
148,26,0,False
148,27,0,False
148,28,0,False
148,29,0,False
148,31,0,False
148,32,0,False
148,33,0,False
148,34,0,False
148,35,0,False
148,36,0,False
149,19,1,False
149,20,1,False
149,21,1,False
149,22,1,False
149,23,1,False
149,24,1,False
149,25,1,False
149,26,1,False
149,27,1,False
149,28,1,False
149,29,1,False
149,30,1,False
149,31,1,False
149,32,1,False
149,33,1,False
149,34,1,False
149,35,1,False
149,36,1,False
152,19,1,False
152,20,1,False
152,21,1,False
152,22,1,False
152,23,1,False
152,24,1,False
152,25,1,False
152,26,1,False
152,27,1,False
152,28,1,False
152,29,1,False
152,30,1,False
152,31,1,False
152,32,1,False
152,33,1,False
152,34,1,False
152,35,1,False
152,36,1,False
153,19,0,False
153,20,0,False
153,21,0,False
153,22,0,False
153,23,0,False
153,24,0,False
153,25,0,False
153,26,0,False
153,27,0,False
153,28,0,False
153,29,0,False
153,31,0,False
153,32,0,False
153,33,0,False
153,34,0,False
153,35,0,False
153,36,0,False
154,19,1,False
154,20,1,False
154,21,1,False
154,22,1,False
154,23,1,False
154,24,1,False
154,25,1,False
154,26,1,False
154,27,1,False
154,28,1,False
154,29,1,False
154,30,1,False
154,31,1,False
154,32,1,False
154,33,1,False
154,34,1,False
154,35,1,False
154,36,1,False
155,19,0,False
155,20,0,False
155,21,0,False
155,22,0,False
155,23,0,False
155,24,0,False
155,25,0,False
155,26,0,False
155,27,0,False
155,28,0,False
155,29,0,False
155,31,0,False
155,32,0,False
155,33,0,False
155,34,0,False
155,35,0,False
155,36,0,False
156,19,1,False
156,20,1,False
156,21,1,False
156,22,1,False
156,23,1,False
156,24,1,False
156,25,1,False
156,26,1,False
156,27,1,False
156,28,1,False
156,29,1,False
156,30,1,False
156,31,1,False
156,32,1,False
156,33,1,False
156,34,1,False
156,35,1,False
156,36,1,False
157,19,1,False
157,20,1,False
157,21,1,False
157,22,1,False
157,23,1,False
157,24,1,False
157,25,1,False
157,26,1,False
157,27,1,False
157,28,1,False
157,29,1,False
157,30,1,False
157,31,1,False
157,32,1,False
157,33,1,False
157,34,1,False
157,35,1,False
157,36,1,False
158,19,0,False
158,20,0,False
158,21,0,False
158,22,0,False
158,23,0,False
158,24,0,False
158,25,0,False
158,26,0,False
158,27,0,False
158,28,0,False
158,29,0,False
158,31,0,False
158,32,0,False
158,33,0,False
158,34,0,True
158,35,0,False
158,36,0,False
159,19,0,False
159,20,0,False
159,21,0,False
159,22,0,False
159,23,0,False
159,24,0,False
159,25,0,False
159,26,0,False
159,27,0,False
159,28,0,False
159,29,0,False
159,31,0,False
159,32,0,False
159,33,0,False
159,34,0,False
159,35,0,False
159,36,0,False
160,19,0,True
160,20,0,False
160,21,0,False
160,22,0,False
160,23,0,False
160,24,0,False
160,25,0,False
160,26,0,False
160,27,0,False
160,28,0,False
160,29,0,False
160,31,0,False
160,32,0,False
160,33,0,False
160,34,0,False
160,35,0,False
160,36,0,False
162,19,0,False
162,20,0,False
162,21,0,False
162,22,0,False
162,23,0,False
162,24,0,False
162,25,0,False
162,26,0,False
162,27,0,False
162,28,0,False
162,29,0,False
162,31,0,False
162,32,0,True
162,33,0,False
162,34,0,False
162,35,0,False
162,36,0,False
165,19,0,True
165,20,0,False
165,21,0,False
165,22,0,False
165,23,0,False
165,24,0,False
165,25,0,False
165,26,0,False
165,27,0,False
165,28,0,True
165,29,0,False
165,31,0,True
165,32,0,False
165,33,0,False
165,34,0,True
165,35,0,True
165,36,0,False
170,19,0,False
170,20,0,False
170,21,0,False
170,22,0,False
170,23,0,False
170,24,0,False
170,25,0,False
170,26,0,False
170,27,0,False
170,28,0,False
170,29,0,False
170,31,0,False
170,32,0,False
170,33,0,False
170,34,0,False
170,35,0,False
170,36,0,False
172,19,0,False
172,20,0,False
172,21,0,False
172,22,0,False
172,23,0,False
172,24,0,False
172,25,0,False
172,26,0,False
172,27,0,False
172,28,0,False
172,29,0,False
172,31,0,False
172,32,0,False
172,33,0,False
172,34,0,False
172,35,0,False
172,36,0,False
173,19,0,False
173,20,0,True
173,21,0,False
173,22,0,False
173,23,0,False
173,24,0,False
173,25,0,False
173,26,0,False
173,27,0,False
173,28,0,False
173,29,0,False
173,31,0,False
173,32,0,False
173,33,0,False
173,34,0,False
173,35,0,False
173,36,0,False
177,19,1,False
177,20,1,False
177,21,1,False
177,22,1,False
177,23,1,False
177,24,1,False
177,25,1,False
177,26,1,False
177,27,1,False
177,28,1,False
177,29,1,False
177,30,1,False
177,31,1,False
177,32,1,False
177,33,1,True
177,34,1,False
177,35,1,False
177,36,1,False
180,19,0,False
180,20,0,False
180,21,0,True
180,22,0,False
180,23,0,False
180,24,0,True
180,25,0,False
180,26,0,False
180,27,0,False
180,28,0,False
180,29,0,False
180,31,0,False
180,32,0,False
180,33,0,False
180,34,0,False
180,35,0,False
180,36,0,False
184,19,0,True
184,20,0,True
184,21,0,False
184,22,0,False
184,23,0,False
184,24,0,False
184,25,0,False
184,26,0,False
184,27,0,False
184,28,0,False
184,29,0,False
184,31,0,False
184,32,0,False
184,33,0,False
184,34,0,False
184,35,0,False
184,36,0,True
186,19,0,False
186,20,0,True
186,21,0,False
186,22,0,False
186,23,0,False
186,24,0,False
186,25,0,False
186,26,0,False
186,27,0,False
186,28,0,False
186,29,0,False
186,31,0,False
186,32,0,False
186,33,0,False
186,34,0,False
186,35,0,False
186,36,0,False
190,19,0,False
190,20,0,False
190,21,0,False
190,22,0,False
190,23,0,False
190,24,0,False
190,25,0,False
190,26,0,False
190,27,0,False
190,28,0,False
190,29,0,False
190,31,0,False
190,32,0,False
190,33,0,False
190,34,0,False
190,35,0,False
190,36,0,False
191,19,1,False
191,20,1,False
191,21,1,False
191,22,1,False
191,23,1,False
191,24,1,False
191,25,1,False
191,26,1,False
191,27,1,False
191,28,1,False
191,29,1,False
191,30,1,False
191,31,1,False
191,32,1,False
191,33,1,False
191,34,1,False
191,35,1,False
191,36,1,False
195,19,0,False
195,20,0,False
195,21,0,False
195,22,0,False
195,23,0,False
195,24,0,False
195,25,0,False
195,26,0,False
195,27,0,False
195,28,0,False
195,29,0,False
195,31,0,False
195,32,0,False
195,33,0,False
195,34,0,False
195,35,0,False
195,36,0,False
196,19,0,True
196,20,0,False
196,21,0,False
196,22,0,False
196,23,0,True
196,24,0,False
196,25,0,True
196,26,0,False
196,27,0,True
196,28,0,True
196,29,0,False
196,31,0,False
196,32,0,False
196,33,0,False
196,34,0,True
196,35,0,False
196,36,0,False
197,19,1,False
197,20,1,False
197,21,1,False
197,22,1,False
197,23,1,False
197,24,1,False
197,25,1,False
197,26,1,False
197,27,1,False
197,28,1,False
197,29,1,False
197,30,1,False
197,31,1,False
197,32,1,False
197,33,1,False
197,34,1,False
197,35,1,False
197,36,1,False
198,19,1,False
198,20,1,False
198,21,1,False
198,22,1,False
198,23,1,False
198,24,1,False
198,25,1,False
198,26,1,False
198,27,1,False
198,28,1,False
198,29,1,False
198,30,1,False
198,31,1,False
198,32,1,False
198,33,1,False
198,34,1,False
198,35,1,False
198,36,1,False
199,19,0,False
199,20,0,True
199,21,0,False
199,22,0,False
199,23,0,False
199,24,0,False
199,25,0,False
199,26,0,False
199,27,0,False
199,28,0,True
199,29,0,False
199,31,0,False
199,32,0,False
199,33,0,False
199,34,0,False
199,35,0,False
199,36,0,False
201,19,1,False
201,20,1,True
201,21,1,False
201,22,1,False
201,23,1,False
201,24,1,False
201,25,1,False
201,26,1,False
201,27,1,False
201,28,1,False
201,29,1,False
201,30,1,False
201,31,1,False
201,32,1,False
201,33,1,False
201,34,1,False
201,35,1,False
201,36,1,False
202,19,1,False
202,20,1,True
202,21,1,False
202,22,1,False
202,23,1,False
202,24,1,False
202,25,1,True
202,26,1,False
202,27,1,False
202,28,1,False
202,29,1,False
202,30,1,False
202,31,1,False
202,32,1,False
202,33,1,False
202,34,1,False
202,35,1,False
202,36,1,False
206,19,0,False
206,20,0,False
206,21,0,False
206,22,0,False
206,23,0,True
206,24,0,False
206,25,0,False
206,26,0,False
206,27,0,False
206,28,0,False
206,29,0,False
206,31,0,False
206,32,0,True
206,33,0,False
206,34,0,False
206,35,0,False
206,36,0,False
210,19,0,False
210,20,0,False
210,21,0,False
210,22,0,False
210,23,0,False
210,24,0,False
210,25,0,False
210,26,0,False
210,27,0,True
210,28,0,False
210,29,0,False
210,31,0,False
210,32,0,False
210,33,0,False
210,34,0,False
210,35,0,False
210,36,0,False
211,20,1,False
211,21,1,False
211,22,1,False
211,26,1,False
211,27,1,False
211,32,1,False
211,33,1,False
211,36,1,False
214,19,0,False
214,20,0,False
214,21,0,False
214,22,0,False
214,23,0,False
214,24,0,False
214,25,0,False
214,26,0,False
214,27,0,False
214,28,0,False
214,29,0,False
214,31,0,False
214,32,0,False
214,33,0,False
214,34,0,False
214,35,0,False
214,36,0,False
216,19,1,False
216,20,1,False
216,21,1,False
216,22,1,False
216,23,1,False
216,24,1,False
216,25,1,False
216,26,1,False
216,27,1,False
216,28,1,False
216,29,1,False
216,30,1,False
216,31,1,False
216,32,1,False
216,33,1,False
216,34,1,False
216,35,1,False
216,36,1,False
217,19,0,False
217,20,0,True
217,21,0,False
217,22,0,False
217,23,0,True
217,24,0,False
217,25,0,False
217,26,0,False
217,27,0,True
217,28,0,False
217,29,0,False
217,31,0,False
217,32,0,False
217,33,0,False
217,34,0,False
217,35,0,False
217,36,0,False
219,19,1,False
219,20,1,False
219,21,1,False
219,22,1,False
219,23,1,False
219,24,1,False
219,25,1,False
219,26,1,False
219,27,1,False
219,28,1,False
219,29,1,False
219,30,1,False
219,31,1,False
219,32,1,False
219,33,1,False
219,34,1,False
219,35,1,False
219,36,1,False
220,19,0,False
220,20,0,False
220,21,0,False
220,22,0,False
220,23,0,False
220,24,0,False
220,25,0,False
220,26,0,False
220,27,0,False
220,28,0,False
220,29,0,False
220,31,0,False
220,32,0,False
220,33,0,False
220,34,0,False
220,35,0,False
220,36,0,False
222,19,1,False
222,20,1,False
222,21,1,False
222,22,1,False
222,23,1,False
222,24,1,False
222,25,1,False
