id,Condition,phase,item_id,share,share01
5e224693c5b1b45273cfecd9,Control,pre,Emotion-2-tripl,1,0.0
5eea1f8b2760f40c6422e6e8,GoViral,pre,Emotion-2-tripl,1,0.0
59d39516d704ba0001fe7dfd,Control,pre,Emotion-2-tripl,1,0.0
5c730ca1f674750001df8d09,GoViral,pre,Emotion-2-tripl,1,0.0
5ee235163a959e2d31a0b521,GoViral,pre,Emotion-2-tripl,1,0.0
5f14210f3cea8245071a9e26,GoViral,pre,Emotion-2-tripl,5,0.6666666666666666
5d1a01b9f9ab2100019e7678,GoViral,pre,Emotion-2-tripl,1,0.0
5e07c976f6191f137214e91f,Control,pre,Emotion-2-tripl,4,0.5
5dd40f2db2204f3ee690f9f9,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
5f2bb0737b4ac5634b0c6e90,Infographics,pre,Emotion-2-tripl,3,0.3333333333333333
59d500bbf35ff40001914d52,Infographics,pre,Emotion-2-tripl,1,0.0
5fa182a5b0a2b2294d1acca6,Infographics,pre,Emotion-2-tripl,1,0.0
5cde8522ec6e1e001740e757,Infographics,pre,Emotion-2-tripl,1,0.0
5e5fc65b2fa0a630d38a4251,Control,pre,Emotion-2-tripl,1,0.0
5f315b1191f3f9621e93ead1,Infographics,pre,Emotion-2-tripl,1,0.0
5f5fcfd070b272088f789ea7,Infographics,pre,Emotion-2-tripl,7,1.0
5d442c09f7386b001a3c2477,Infographics,pre,Emotion-2-tripl,1,0.0
5c61b5da31489a0001fa81c5,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5a22d8ba391e270001a100d3,Control,pre,Emotion-2-tripl,1,0.0
5b20590b68a5ed000173d733,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5f2c19ebab632e05959b1adf,Infographics,pre,Emotion-2-tripl,1,0.0
5f0c6d4888ae1a09b0eacdc2,Infographics,pre,Emotion-2-tripl,1,0.0
5f01eb945dce430688764829,Infographics,pre,Emotion-2-tripl,4,0.5
5f60aef33f5bac06ebf1ef48,Control,pre,Emotion-2-tripl,1,0.0
5e19a93785277923a40d757a,GoViral,pre,Emotion-2-tripl,1,0.0
5f2ae53cfaf8ee42b43890c0,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5f2e5daf2ffd3c1bb595a1f7,Control,pre,Emotion-2-tripl,1,0.0
59d4943b719adb0001235b5f,Control,pre,Emotion-2-tripl,1,0.0
5cb7a3a663211a0018aa8597,Infographics,pre,Emotion-2-tripl,1,0.0
5c28a88b1c8e4c0001b2e0c7,Infographics,pre,Emotion-2-tripl,1,0.0
5cdd35e1ffe01a001631cd78,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5e73c7a5d302e933a4a51bd8,GoViral,pre,Emotion-2-tripl,1,0.0
5f76f9bc8ed0b91b34f829da,GoViral,pre,Emotion-2-tripl,1,0.0
5f4fa902b4a68008356c7500,Control,pre,Emotion-2-tripl,1,0.0
5f5c7a8c033f644657e8342a,Infographics,pre,Emotion-2-tripl,1,0.0
5c869cfb4c266300156eded0,Infographics,pre,Emotion-2-tripl,1,0.0
5de1349910088f186fce1816,Control,pre,Emotion-2-tripl,2,0.16666666666666666
55bd09dafdf99b316b14bdd9,Infographics,pre,Emotion-2-tripl,3,0.3333333333333333
5f920671e2d35b1145ed2d6e,Control,pre,Emotion-2-tripl,7,1.0
5eedac2f4d56461dbdb5a3b2,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5f4654a36bb6880111ff2950,Control,pre,Emotion-2-tripl,4,0.5
5d43ff65d4db680019998a32,Infographics,pre,Emotion-2-tripl,1,0.0
5c9355225be2830001f8d948,Control,pre,Emotion-2-tripl,4,0.5
5e8d6f1ed541a413aa964764,GoViral,pre,Emotion-2-tripl,4,0.5
5f8ea9364cec4802021bd171,GoViral,pre,Emotion-2-tripl,1,0.0
5f50b99ab3296f048b95f214,Infographics,pre,Emotion-2-tripl,2,0.16666666666666666
5f6456955bc1fc1e2c10bbda,GoViral,pre,Emotion-2-tripl,4,0.5
5ba42db8a6ba600001d6e28c,Control,pre,Emotion-2-tripl,1,0.0
