id,Condition,fake_index,share,share01
787462,1.0,1,2.0,0.2
405267,1.0,1,1.0,0.0
147738,2.0,1,1.0,0.0
100678,1.0,1,2.0,0.2
234076,1.0,1,1.0,0.0
448014,1.0,1,1.0,0.0
866146,2.0,1,6.0,1.0
944506,2.0,1,5.0,0.8
509596,1.0,1,5.0,0.8
98713,2.0,1,3.0,0.4
265481,2.0,1,1.0,0.0
195635,2.0,1,2.0,0.2
239812,2.0,1,1.0,0.0
371332,2.0,1,1.0,0.0
214038,1.0,1,1.0,0.0
532706,2.0,1,4.0,0.6
956062,2.0,1,5.0,0.8
596358,2.0,1,4.0,0.6
536524,1.0,1,1.0,0.0
29919,1.0,1,4.0,0.6
550826,1.0,1,6.0,1.0
403279,2.0,1,1.0,0.0
988089,1.0,1,2.0,0.2
89680,1.0,1,1.0,0.0
578701,1.0,1,2.0,0.2
274161,2.0,1,3.0,0.4
852414,1.0,1,1.0,0.0
521723,1.0,1,1.0,0.0
687577,2.0,1,4.0,0.6
416120,2.0,1,1.0,0.0
425392,1.0,1,1.0,0.0
44928,2.0,1,1.0,0.0
890709,2.0,1,1.0,0.0
277372,2.0,1,1.0,0.0
153717,2.0,1,1.0,0.0
720528,2.0,1,1.0,0.0
101070,1.0,1,3.0,0.4
682883,1.0,1,1.0,0.0
233553,2.0,1,1.0,0.0
668148,1.0,1,1.0,0.0
346948,2.0,1,1.0,0.0
435778,1.0,1,5.0,0.8
805490,2.0,1,1.0,0.0
795771,1.0,1,4.0,0.6
463386,2.0,1,2.0,0.2
169455,1.0,1,1.0,0.0
895229,1.0,1,1.0,0.0
938055,1.0,1,1.0,0.0
709216,2.0,1,4.0,0.6
731183,2.0,1,6.0,1.0
738708,2.0,1,1.0,0.0
566375,1.0,1,1.0,0.0
805735,1.0,1,1.0,0.0
979170,2.0,1,1.0,0.0
503269,2.0,1,6.0,1.0
372335,1.0,1,3.0,0.4
895895,1.0,1,4.0,0.6
687155,2.0,1,1.0,0.0
504316,2.0,1,5.0,0.8
818170,1.0,1,1.0,0.0
119528,2.0,1,2.0,0.2
371186,2.0,1,1.0,0.0
838841,1.0,1,1.0,0.0
385937,2.0,1,1.0,0.0
533551,2.0,1,1.0,0.0
990266,1.0,1,1.0,0.0
85500,2.0,1,3.0,0.4
145810,1.0,1,5.0,0.8
486492,1.0,1,1.0,0.0
847751,2.0,1,1.0,0.0
146747,2.0,1,5.0,0.8
622148,1.0,1,1.0,0.0
480926,2.0,1,1.0,0.0
486509,1.0,1,6.0,1.0
865628,2.0,1,5.0,0.8
230112,1.0,1,1.0,0.0
804685,2.0,1,5.0,0.8
711270,2.0,1,2.0,0.2
768123,1.0,1,1.0,0.0
325727,2.0,1,1.0,0.0
108237,2.0,1,2.0,0.2
348848,1.0,1,1.0,0.0
40326,1.0,1,1.0,0.0
145890,1.0,1,1.0,0.0
796907,1.0,1,1.0,0.0
211495,2.0,1,2.0,0.2
705028,2.0,1,5.0,0.8
177981,1.0,1,6.0,1.0
442728,1.0,1,1.0,0.0
760069,2.0,1,1.0,0.0
267129,1.0,1,4.0,0.6
584056,1.0,1,1.0,0.0
959794,1.0,1,4.0,0.6
20956,2.0,1,2.0,0.2
240041,2.0,1,2.0,0.2
819204,2.0,1,2.0,0.2
852951,1.0,1,1.0,0.0
202497,2.0,1,6.0,1.0
657058,1.0,1,4.0,0.6
848595,1.0,1,2.0,0.2
23619,2.0,1,1.0,0.0
943711,2.0,1,2.0,0.2
246970,2.0,1,4.0,0.6
751454,2.0,1,4.0,0.6
696721,2.0,1,6.0,1.0
877135,2.0,1,1.0,0.0
543492,2.0,1,1.0,0.0
235555,1.0,1,1.0,0.0
935318,1.0,1,1.0,0.0
595997,1.0,1,1.0,0.0
903339,2.0,1,3.0,0.4
238791,2.0,1,2.0,0.2
46418,1.0,1,3.0,0.4
897078,1.0,1,1.0,0.0
74529,2.0,1,1.0,0.0
138744,2.0,1,1.0,0.0
528622,1.0,1,1.0,0.0
770693,1.0,1,4.0,0.6
122046,1.0,1,1.0,0.0
755290,1.0,1,5.0,0.8
328019,1.0,1,1.0,0.0
543246,1.0,1,1.0,0.0
741101,2.0,1,1.0,0.0
880272,1.0,1,4.0,0.6
648481,2.0,1,1.0,0.0
131414,2.0,1,1.0,0.0
967464,1.0,1,2.0,0.2
767466,1.0,1,1.0,0.0
464315,2.0,1,1.0,0.0
932636,2.0,1,1.0,0.0
492527,1.0,1,1.0,0.0
327538,1.0,1,2.0,0.2
773256,1.0,1,6.0,1.0
971895,2.0,1,1.0,0.0
193975,1.0,1,1.0,0.0
431076,2.0,1,2.0,0.2
177876,2.0,1,1.0,0.0
664975,2.0,1,2.0,0.2
377084,1.0,1,1.0,0.0
179982,1.0,1,4.0,0.6
993023,1.0,1,1.0,0.0
42572,2.0,1,1.0,0.0
896494,1.0,1,1.0,0.0
478163,2.0,1,4.0,0.6
2131,2.0,1,1.0,0.0
739660,2.0,1,1.0,0.0
752736,2.0,1,1.0,0.0
763986,2.0,1,1.0,0.0
708999,2.0,1,6.0,1.0
726336,1.0,1,6.0,1.0
855324,1.0,1,4.0,0.6
738198,2.0,1,1.0,0.0
999556,2.0,1,4.0,0.6
565555,2.0,1,1.0,0.0
