id,Condition,item_id,share,share01
5d667a1a3741ea0001c719b9,1,1,2,0.16666666666666666
5e2f15bb8028224dd1dd90c9,1,1,1,0.0
5df1477f2b12bd05e841d0d2,1,1,2,0.16666666666666666
5c92cda483617d0010bef1b8,1,1,5,0.6666666666666666
58578946c41fd90001434680,1,1,1,0.0
5ec3f446aa5afd2881e19363,1,1,1,0.0
5dd85584e2dcbd80078ad6a3,1,1,5,0.6666666666666666
5e592670e30a7813563b5c1f,1,1,1,0.0
53987712fdf99b68e3a45021,1,1,1,0.0
5ec95094b6bb5605b78147ef,2,1,1,0.0
5c43c90d5aca820001f73f6f,2,1,1,0.0
5ed7a9fbd8404c079eb7188a,2,1,1,0.0
5cd3ff1ac99584000199dd15,2,1,2,0.16666666666666666
5c548e119dd9950001aced19,1,1,1,0.0
5ca36ce5f5fe190001f7ec45,1,1,6,0.8333333333333334
558823c2fdf99b318cb4224b,1,1,1,0.0
5d7989d048563d00169163f3,1,1,1,0.0
5a388fdc0006450001bf2983,1,1,1,0.0
5e5a2b5b2bff5422919b9e94,1,1,4,0.5
5ec7d1c47509c2061c7e4847,1,1,5,0.6666666666666666
5ea497072b246644ea12dc12,2,1,1,0.0
5e400361965b4f2441216d20,1,1,1,0.0
5ca8e07d4311a70016cfce70,1,1,3,0.3333333333333333
57d2171151f65b0001278bf2,2,1,1,0.0
5ad7c794c25ea000018848d1,2,1,1,0.0
5dd0c43acaee3e187643d32b,2,1,1,0.0
5e44399336d11f01939401eb,1,1,1,0.0
5ec48cc2daeeba37663f880b,1,1,1,0.0
5d1636739bc2590001d92557,1,1,4,0.5
5ed8f2bba19db0076840fad8,1,1,4,0.5
5a708ef2f1530b000103bfab,2,1,1,0.0
5b15de5cbd9c310001570400,2,1,1,0.0
5d41d2d69a0eed0001abe06b,2,1,1,0.0
57bdb5eb467f26000125db79,2,1,1,0.0
5a5aa53be0cf3d000126790a,2,1,1,0.0
5c79e0e53454d70014499289,1,1,4,0.5
5ed8c37c9c98553c3d9e792f,1,1,6,0.8333333333333334
5dc19bcd4fbd08108de60b13,1,1,1,0.0
5ed0539cc810201300401301,1,1,7,1.0
5afa5252672ea800010d97e6,1,1,5,0.6666666666666666
5751d4a716bc720007a5abcd,1,1,1,0.0
5ee163fb1d9dca1b186254ce,2,1,1,0.0
5c14f3405e545c0001e3f3f5,1,1,1,0.0
5dcdef4dd30a0e0acb5b6fba,1,1,1,0.0
5ea083054c4885052fc0f51e,1,1,1,0.0
5e928d18e322295c5e4699e5,2,1,1,0.0
5e2fb1a916d1fc5621140389,1,1,1,0.0
5e30d68e4de4510d34b66da6,2,1,1,0.0
5e816e88d29f758620c3055d,1,1,3,0.3333333333333333
5bf49e46cade8c0001e8387f,2,1,1,0.0
5bdc9b4780cdcf0001bc4c24,1,1,1,0.0
5e600f78c0bc8634cbe671ed,1,1,4,0.5
5e8b89d0afcb1606e761ef7f,1,1,1,0.0
5e94fc39cc318836529fd876,2,1,1,0.0
5e26f9275b32379235cbbe94,1,1,2,0.16666666666666666
5c89bfe95a10f700183b2e52,1,1,1,0.0
5ea97c8bd9092906246d2621,1,1,1,0.0
5e396e7d912e8717e033b2e7,2,1,1,0.0
5e41a040ea48190420f09d26,2,1,1,0.0
59f38493da08940001d4e599,1,1,1,0.0
5dd41779cc19203f9df2bbe6,2,1,1,0.0
5eb6cf2e7324675d6051c703,1,1,6,0.8333333333333334
5ecead80e627212a4ca14dd2,2,1,1,0.0
5e51cbd4ad88cd2047eaf29d,1,1,1,0.0
5ee3c01c7247c006e9a3f4fd,1,1,1,0.0
5cd8e69a987ddd00187b7c06,2,1,4,0.5
5ddb58c61f179ea91098c6c1,1,1,1,0.0
5d256c9b3eee7d001541a073,1,1,1,0.0
5ee243409586fe6bc6a1f352,2,1,7,1.0
5d452c90c225f700019da161,2,1,4,0.5
5ec6747917fbef0476a0841a,1,1,3,0.3333333333333333
5eabe9be3616511ddfbc4682,2,1,5,0.6666666666666666
5e175705cfe8dc000b559793,1,1,1,0.0
5ee222872972422a25f39232,2,1,3,0.3333333333333333
5edaceaa5540a67238c7ab34,1,1,1,0.0
5c01d3c509e9c70001500b10,2,1,1,0.0
56721761980a3c0011277389,2,1,1,0.0
5ebc5efb55e67d09d5aa98ed,1,1,1,0.0
5ee758f33e8d390194cf8a7c,1,1,4,0.5
5c40134b1580e900012320ab,2,1,1,0.0
57f2da5c6c19420001438d19,2,1,1,0.0
5dbd3613d54c4929d11b8117,2,1,1,0.0
5b3edc9498a45e0001ede987,2,1,1,0.0
5c3a865019ceb400010c914a,1,1,2,0.16666666666666666
5c47758c2381060001bf5b19,2,1,1,0.0
5ed65d425ca15a06efd09855,1,1,2,0.16666666666666666
5e668df31d7e1a4039d67b49,2,1,1,0.0
5abe4f25fa3b4e000173303f,1,1,1,0.0
5ebefd34ee7c5b1076bad405,2,1,2,0.16666666666666666
5dd348ce41afe8350e638085,2,1,1,0.0
5eb7ab1ff2dbc96d480becee,1,1,6,0.8333333333333334
5eba357c3d72c116be317542,1,1,1,0.0
5c5297ba1841c80001393988,2,1,1,0.0
5c720c7278263500015665f9,1,1,2,0.16666666666666666
5ee517175fd9cf23b3b7b7ec,2,1,1,0.0
5dbddfb8a7b7bc306f4f5daa,2,1,1,0.0
5eb477adfafd942c92a1e302,2,1,4,0.5
5ee4bfd2fbccd31cab33dfdf,1,1,4,0.5
5dd3eaabfef7c23d3f95d252,2,1,1,0.0
59d72a915cddae0001ff04c3,1,1,1,0.0
5de33ff0cc246f3633dc01d2,2,1,1,0.0
5be31317d6e8c40001d00d23,2,1,1,0.0
5eba16aa359030156a6d5d31,1,1,1,0.0
5d5f6ae24d55db0016ed463c,1,1,1,0.0
5dff5b1d1d6b46b99a4c3c5f,1,1,1,0.0
5ea97873b7e2db07fb927b86,1,1,1,0.0
5e87fee4c740a748f50a63bb,2,1,1,0.0
5acacdcd0527ba0001c24bad,2,1,1,0.0
5e7ee2c009f66f5b60c902bb,2,1,1,0.0
5e8b0faa3d71b07b69ef26f4,1,1,1,0.0
5eb38c97b667d9186d51a78b,2,1,1,0.0
59715b4b50e2f000016fe00e,2,1,1,0.0
5ed633ed4c896704153e7bdf,2,1,5,0.6666666666666666
5ed8b2459883863ba57e6295,2,1,6,0.8333333333333334
5ed8b3184268813c359d253c,2,1,4,0.5
5ed3e7519fd3083924dbd506,2,1,1,0.0
5e428b48902afe117c45d261,1,1,1,0.0
5e08d48b7bf5721d51467348,2,1,1,0.0
5e7a2ccd69a7770604dfb352,2,1,1,0.0
5d9d5e2e43c6e300159417ae,2,1,1,0.0
5ed93df6b7d13e4b78dc6331,1,1,5,0.6666666666666666
5eda8b439c29de0eda9ac0fa,2,1,1,0.0
5ee65440e775143a79736917,1,1,1,0.0
5e78de28178aa802967081da,1,1,2,0.16666666666666666
5c82d0ac51b0e00015cbd2fc,1,1,1,0.0
5d391aa474651f0017882b6b,2,1,2,0.16666666666666666
5ce1f31a27efac0018821eed,2,1,2,0.16666666666666666
