rid,Condition,fake_index,share,share01
5e6ce3e5-2a94-aa6b-3911-e9a7c2a6e2c3,1,1,2.0,0.2
5e6ce89a-2e1c-ac00-1ff9-c6b6e50df6a0,2,1,4.0,0.6
5e6ce84d-bf48-9f9f-1121-eeda55b45a5c,2,1,1.0,0.0
5e6cea11-aa0a-9d25-89d4-fe3cdd8bc2b5,1,1,1.0,0.0
5e6ceb75-20cb-f1ad-0b4a-aa61d7a35d7f,2,1,2.0,0.2
5e6cf023-3ec4-b359-82a6-aa8c4ede9ecc,2,1,3.0,0.4
5e6cefd1-f32d-78de-55d7-5c4daa4e7c65,2,1,1.0,0.0
5e6cf07a-d83e-f181-0671-f1a5de499d71,1,1,1.0,0.0
5e6cf098-779a-6c65-ed0e-e7c78e9788b8,2,1,1.0,0.0
5e6cf07c-60d1-ed9b-9db7-3d642d878855,1,1,1.0,0.0
5e6cefde-dd17-d630-d270-04f243348313,1,1,1.0,0.0
5e6cf37e-e40d-d4fc-a12a-00915f80907c,1,1,5.0,0.8
5e6cf34c-d1b3-9d18-df54-15eae08b9385,1,1,1.0,0.0
5e6cf2a5-73da-be37-9172-862360f75851,1,1,1.0,0.0
5e6cfb0c-e90f-58e9-ad59-49f49006cf1e,1,1,4.0,0.6
5e6d071d-4c2c-f924-c856-17f9797b46e2,2,1,4.0,0.6
5e6d07bf-c0ad-33b6-c16d-38f128a751c5,1,1,1.0,0.0
5e6d10b5-7561-9d89-cf1e-8a942b451ac0,1,1,3.0,0.4
5e6d1084-0de5-afbf-edd3-fec58a68368c,2,1,1.0,0.0
5e6d10bb-3fb6-5653-45b8-76fe1ae6b993,1,1,2.0,0.2
5e6d197a-4590-ccb8-6a9e-28ee21a27e08,2,1,5.0,0.8
5e6d17ef-77b8-6760-9143-86d48bc1d74c,2,1,1.0,0.0
5e6d173d-9fca-08dd-8bb5-7ebfda5d4a2c,2,1,5.0,0.8
5e6d195e-c119-4e87-80da-c10cfb943225,2,1,1.0,0.0
5e6d1f14-8662-bbd1-3db4-bce959f1ef9c,2,1,4.0,0.6
5e6d2279-e330-7e31-d359-0568ba43750f,1,1,2.0,0.2
5e6d21d5-e7fc-6b37-433c-a504604b835c,1,1,6.0,1.0
5e6d185c-03d1-c183-50c0-82e61ef8ba56,1,1,3.0,0.4
5e6d216d-4fdf-a2e0-ed69-2378e4166a37,2,1,5.0,0.8
5e6d2db6-8c25-c2e7-0c8b-e672a2b41e2c,1,1,3.0,0.4
5e6d2e16-e9f5-c62e-7ba1-bcf476c802d0,2,1,1.0,0.0
5e6d2b0e-6f82-4b78-f3c0-25b10f35a460,1,1,5.0,0.8
5e6d2fe5-634a-cac7-c7ea-6ee74b28dd90,1,1,1.0,0.0
5e6d2e26-821c-e454-0765-c235bb058570,1,1,6.0,1.0
5e6d2dfb-40c6-da5b-4bab-1a826f531e08,2,1,5.0,0.8
5e6d34cc-1199-c62c-0050-a348f43a9c0d,2,1,4.0,0.6
5e6d27f2-a86a-7aac-4afa-2a6880af2e40,2,1,1.0,0.0
5e6d37c2-fa6d-883a-6677-42fb7ff39f27,2,1,3.0,0.4
5e6d34fb-b9a3-6120-11ba-adfbf609a9bb,1,1,1.0,0.0
5e6d34f0-b270-0c26-c2d2-7f815fc31967,2,1,6.0,1.0
5e6d32c9-f6dc-5388-209e-564b355ad66c,2,1,3.0,0.4
5e6d3965-fcd4-3eb6-c543-8d326a7facc7,1,1,4.0,0.6
5e6d3a9c-4744-10ed-eb69-69a5cd94ae25,1,1,1.0,0.0
5e6d3033-6353-949f-0ea9-e93cfd7e743e,2,1,4.0,0.6
5e6d494d-61e3-ffcc-b68f-5926b8cd23e8,1,1,1.0,0.0
5e6d5496-96ea-6da4-b5d7-b95a8fdad22c,2,1,6.0,1.0
5e6d583d-2a57-f76c-b506-a938cc7da9c4,1,1,5.0,0.8
5e6d5838-6f0c-0cbd-cd25-8265e5565bbe,2,1,1.0,0.0
5e6d5a04-2035-2a01-8cb7-2ee9f1e1a668,1,1,4.0,0.6
5e6d5a20-9ebc-2706-4a97-825c1c338185,2,1,3.0,0.4
5e6d5d9b-6fbc-4a60-9527-133bbef061a0,1,1,3.0,0.4
5e6d67bf-a0fa-9969-3d22-85a8c1320388,1,1,1.0,0.0
5e6d6966-9257-7836-2f8c-9e908fa0a495,2,1,4.0,0.6
5e6d78f2-61e0-7f31-1fab-8ab7020a844b,1,1,1.0,0.0
5e6d7a5a-2efd-9e4f-df04-6947bf809532,2,1,6.0,1.0
5e6d78c5-8838-2a32-8c9b-b1a0ee14cec0,1,1,1.0,0.0
5e6d7a1e-4407-d567-9767-28139bde45f9,1,1,2.0,0.2
5e6d7af3-ca56-bd92-3436-d77e12fea884,1,1,1.0,0.0
5e6d8111-37a8-9593-6ed1-bef8cc20ad92,1,1,1.0,0.0
5e6d81cf-d309-9f1c-808b-0f7d78c2992d,1,1,1.0,0.0
5e6d8992-cfe7-5d2a-2b63-59cf4c3f208d,2,1,1.0,0.0
5e6d89cc-e07c-0205-fb6b-d82c0884ffca,2,1,5.0,0.8
5e6d89a3-f680-1b3d-dbd5-bc865c64eda2,1,1,5.0,0.8
5e6d8ae6-fdb7-77fd-1d4d-35455064b066,1,1,1.0,0.0
5e6d8e5a-98ae-9a3c-9112-2bd948d7f565,2,1,6.0,1.0
5e6d8ecc-c0f4-c4d3-3c1e-0f8bb41850ef,1,1,2.0,0.2
5e6d8a34-8189-6a17-b0fb-6d3b995e7c51,2,1,3.0,0.4
5e6d8f3e-42b8-5ef7-8f03-c876739c00f2,2,1,5.0,0.8
5e6d9432-c111-846f-0413-6f642122450b,1,1,2.0,0.2
5e6d9a20-3de5-d00f-1f4d-629528fccadd,2,1,2.0,0.2
5e6d9442-e7f2-23fc-8cc7-3ae52674219b,1,1,3.0,0.4
5e6d9cdf-58a2-d528-4b77-184f4ed6b2b9,1,1,5.0,0.8
5e6d9868-2ac9-81cd-75cb-7810aedcd999,2,1,4.0,0.6
5e6db524-f3e1-26e8-9d87-5ca5191cc0c4,1,1,5.0,0.8
5e6db2a7-8a72-493f-6482-d55e7f7b6ed0,2,1,5.0,0.8
5e6dbd09-9206-0771-42c3-c73cf5ce6ee8,2,1,5.0,0.8
5e6dbe79-6d54-3758-d521-823fac3b6b66,1,1,3.0,0.4
5e6ddeff-e0c0-cc18-f5c0-98185c246638,1,1,3.0,0.4
5e6e03ef-f86d-1aa9-3cd3-81fcc50b0b50,1,1,2.0,0.2
5e6e06b5-abd4-54bf-a3c0-68a33c04b970,1,1,1.0,0.0
5e6e129d-312a-be44-940f-01c25450e912,2,1,1.0,0.0
5e6e172e-c917-9f80-beb9-9cdd65e844f6,1,1,1.0,0.0
5e6e1b1f-712e-8019-e061-975a90e34737,1,1,1.0,0.0
5e6e2ad8-feaa-d061-2f6b-2ba89b57b84b,1,1,1.0,0.0
5e6bfe45-088f-181f-c414-485e5dc913ab,1,1,6.0,1.0
